name,watercourse_code,length,first_point,last_point,is_affluent,classe,river_join
La Blaise,F53-0400,49.069950718263705,"[0.953032999825931, 48.56345788901245]","[1.409594682179635, 48.76461002995561]",1,2,La Seine
Bras de l'Ailette,H02-4201,1.30799000125228,"[3.190156347417226, 49.57361971088691]","[3.17417322179971, 49.575678273396704]",1,2,La Seine
L'Oze,F3350600,41.96842602432755,"[4.728984597008391, 47.34662681399989]","[4.436780474900443, 47.5539042658164]",1,3,La Seine
L'Ouanne,F41-0400,83.74641972048157,"[3.434991609075269, 47.635885948179954]","[2.779779826601803, 47.95388509697076]",1,2,La Seine
Le Gland,H0010600,36.794353908574817,"[4.444770419186623, 49.91987054521856]","[4.078561345168183, 49.924390721110605]",1,3,La Seine
L'Aujon,F11-0400,67.97242892599475,"[5.178538292942548, 47.81400476868026]","[4.796702943145099, 48.155437961181065]",1,2,La Seine
Bras de la Seine,F7049201,6.913013967888913,"[2.320350926101906, 48.916134724187096]","[2.287784023292377, 48.95056388998852]",1,1,La Seine
L'Orconte,F5410600,31.37257950094176,"[4.940892134056741, 48.69528685654064]","[4.599907970415694, 48.69110932303792]",1,3,La Seine
La Troesne,H3130600,27.086741411724244,"[2.05629360246412, 49.20045545772585]","[1.78273310363042, 49.27877542381534]",1,3,La Seine
La Bezonde,F42-0400,34.97530130498645,"[2.336776832199184, 47.98963880498709]","[2.732695298799378, 48.03944072325445]",1,3,La Seine
La Sueurre,F5160600,28.83826429192452,"[5.447626530178624, 48.13999311147076]","[5.29638078479752, 48.26402670551994]",1,3,La Seine
Le Beuvron,F30-0400,40.45794175765269,"[3.517993069092966, 47.199957733304835]","[3.5236045069177, 47.462254603268256]",1,3,La Seine
Le Landion,F3430600,1.9139117284391751,"[4.587380698178716, 48.03000603394685]","[4.571982129105553, 48.03848702959833]",1,3,La Seine
Le Vernisson,F4218000,37.16483395457941,"[2.726002646305063, 47.72343684443693]","[2.729362269397024, 47.99714114778081]",1,3,La Seine
La Barse,F08-0400,50.11454913704928,"[4.496215804460519, 48.20762757324151]","[4.069830271751262, 48.324747458807266]",1,2,La Seine
Bras de la Seine,F0--3701,1.50343013967888913,"[4.30425224999223, 48.146325936850914]","[4.289815794823406, 48.14481254971289]",1,3,La Seine
Le Petit Morin,F62-0400,86.32123548453939,"[3.994671231546473, 48.8202742528178]","[3.121414153845911, 48.944956290677105]",1,2,La Seine
Le Loing,F4--0200,142.64051501034672,"[3.232389157654491, 47.55369937030159]","[2.802239195583538, 48.38766956272813]",1,1,La Seine
Les Tarnauds,F6125000,0.4246503425493094,"[4.191056268676586, 49.011278301734635]","[4.195660861950179, 49.01354370815008]",1,2,La Seine
