Date,O919001001,O200001001,V504661001,O153291001,O353401001,O375401001,O546431001,Q066402002,O612501001,O605401001,O633251001,O650251001,K216311001,O701581001,P171291001,O839431001,P257401001,Q224291001,48198001,65258001_x,65258001_y,31555006,31451001,65258001,11221004,65125001,12216001
2024-04-01,1029070.0,169355.0,39459.0,3589.0,10021.0,2572.0,2566.0,3388.0,1006.0,2463.0,10705.0,2768.0,8325.0,2504.0,7997.0,4148.0,3096.0,6274.0,0.4,2.8,2.8,,0.4,2.8,0.4,2.8,3.0
2024-04-02,991276.0,146563.0,24506.0,3478.0,9554.0,2490.0,2765.0,2621.0,874.0,2391.0,9405.0,2600.0,5407.0,1867.0,8293.0,3673.0,2612.0,4660.0,0.4,0.0,0.0,,0.2,0.0,0.0,0.0,1.0
2024-04-03,903340.0,135602.0,18339.0,3351.0,8989.0,2352.0,2553.0,2063.0,852.0,2337.0,7913.0,2414.0,4924.0,1623.0,8975.0,3420.0,2461.0,2689.0,1.2,0.0,0.0,,0.0,0.0,0.0,0.0,1.2
2024-04-04,784742.0,127839.0,14287.0,3282.0,8345.0,2192.0,2389.0,1740.0,820.0,2295.0,6561.0,,4348.0,1428.0,8464.0,3133.0,2203.0,2100.0,0.0,0.0,0.0,825.4,0.0,0.0,0.0,0.0,0.0
2024-04-05,652175.0,125497.0,12099.0,3246.0,7883.0,2073.0,2270.0,1556.0,791.0,2275.0,6008.0,1921.0,3857.0,1240.0,7078.0,2951.0,1980.0,1612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,601643.0,125329.0,10507.0,3266.0,7477.0,1933.0,2106.0,1437.0,761.0,2249.0,5511.0,,3467.0,1103.0,5824.0,2786.0,1807.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-07,541056.0,135171.0,9098.0,3257.0,7127.0,1842.0,2007.0,1312.0,735.0,2222.0,5095.0,,3185.0,1015.0,4878.0,2656.0,1696.0,993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-08,528721.0,164778.0,8030.0,3358.0,6862.0,1791.0,1964.0,1225.0,707.0,2322.0,5032.0,,2906.0,939.0,4244.0,2698.0,1748.0,896.0,6.8,14.9,14.9,,9.2,14.9,12.2,12.2,13.0
